Error fetching acc data: 'SensorHandler' object has no attribute 'acc_detect_accident'
2024-12-15 20:56:39: Acceleration=9.799596930486478, Status=NORMAL
2024-12-15 20:56:39: Acceleration=9.80063263264163, Status=NORMAL
2024-12-15 20:56:39: Acceleration=9.78927474330964, Status=NORMAL
2024-12-15 20:56:39: Acceleration=9.78927474330964, Status=NORMAL
2024-12-15 20:56:39: Acceleration=9.801678427697983, Status=NORMAL
2024-12-15 20:56:39: Acceleration=9.789657808115665, Status=NORMAL
2024-12-15 20:56:39: Acceleration=9.811233357738466, Status=NORMAL
2024-12-15 20:56:39: Acceleration=9.811233357738466, Status=NORMAL
2024-12-15 20:56:39: Acceleration=9.771212821344136, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.80063263264163, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.820509151770086, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.820509151770086, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.799596930486478, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.799596930486478, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.82130337582543, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.781804536996228, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.781804536996228, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.819755597773296, Status=NORMAL
2024-12-15 20:56:40: Acceleration=9.788901879169083, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.808781779609536, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.829806712240073, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.802734312425285, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.808419852351346, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.798841768290782, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.803127052119645, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.81057082946757, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.811233357738466, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.787614622572756, Status=NORMAL
2024-12-15 20:56:41: Acceleration=9.791087784306706, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.820509151770086, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.802474177471726, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.810188581265908, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.801678427697983, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.819093644527483, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.812007949446432, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.77081879885202, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.788539216859684, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.779718809863605, Status=NORMAL
2024-12-15 20:56:42: Acceleration=9.79204268781545, Status=NORMAL
2024-12-15 20:56:43: Acceleration=9.811233357738466, Status=NORMAL
2024-12-15 20:56:43: Acceleration=9.791087784306706, Status=NORMAL
2024-12-15 20:56:43: Acceleration=9.78927474330964, Status=NORMAL
2024-12-15 20:56:43: Acceleration=9.798841768290782, Status=NORMAL
2024-12-15 20:56:43: Acceleration=9.790694561674366, Status=NORMAL
2024-12-15 20:56:43: Acceleration=9.801678427697983, Status=NORMAL
2024-12-15 20:56:43: Acceleration=9.80945462296452, Status=NORMAL
2024-12-15 20:56:43: Acceleration=9.78824805570435, Status=NORMAL
2024-12-15 20:56:43: Acceleration=9.78927474330964, Status=NORMAL
2024-12-15 20:56:44: Acceleration=9.792537975417813, Status=NORMAL
2024-12-15 20:56:44: Acceleration=9.783256104181266, Status=NORMAL
2024-12-15 20:56:44: Acceleration=9.799596930486478, Status=NORMAL
2024-12-15 20:56:44: Acceleration=9.780373203513248, Status=NORMAL
2024-12-15 20:56:44: Acceleration=9.791087784306706, Status=NORMAL
2024-12-15 20:56:44: Acceleration=9.81161556523695, Status=NORMAL
2024-12-15 20:56:44: Acceleration=9.799596930486478, Status=NORMAL
2024-12-15 20:56:44: Acceleration=9.81136585802405, Status=NORMAL
